Iterations,Markets visited,runtimes,population_size
34.0,15.0,0.491737,100.0
34.0,16.0,0.493336,100.0
34.0,15.0,0.513841,100.0
34.0,15.0,0.494673,100.0
34.0,16.0,0.492666,100.0
34.0,16.0,0.497954,100.0
34.0,17.0,0.495414,100.0
41.0,16.0,0.609631,100.0
41.0,15.0,0.587092,100.0
41.0,16.0,0.493633,100.0
41.0,14.0,0.563421,100.0
41.0,17.0,0.626609,100.0
41.0,16.0,0.608846,100.0
41.0,16.0,0.532601,100.0
41.0,16.0,0.633635,100.0
41.0,16.0,0.606926,100.0
41.0,15.0,0.423434,100.0
49.0,15.0,0.731752,100.0
49.0,16.0,0.751345,100.0
49.0,17.0,0.737516,100.0
49.0,14.0,0.719237,100.0
49.0,16.0,0.726183,100.0
49.0,17.0,0.704902,100.0
49.0,17.0,0.70379,100.0
49.0,16.0,0.756485,100.0
49.0,16.0,0.753487,100.0
49.0,17.0,0.730576,100.0
58.0,16.0,0.88367,100.0
58.0,16.0,0.844318,100.0
58.0,17.0,0.828279,100.0
58.0,15.0,0.546123,100.0
58.0,17.0,0.871999,100.0
58.0,16.0,0.850736,100.0
58.0,15.0,0.629984,100.0
58.0,17.0,0.85811,100.0
58.0,15.0,0.842081,100.0
58.0,16.0,0.871122,100.0
68.0,16.0,1.00203,100.0
68.0,16.0,1.020252,100.0
68.0,16.0,1.006881,100.0
68.0,16.0,1.051051,100.0
68.0,16.0,1.070258,100.0
68.0,17.0,1.050142,100.0
68.0,17.0,1.046205,100.0
68.0,17.0,0.893068,100.0
68.0,16.0,1.053585,100.0
68.0,17.0,1.070842,100.0
81.0,16.0,1.306006,100.0
81.0,16.0,1.225414,100.0
81.0,15.0,1.37321,100.0
81.0,15.0,1.257517,100.0
81.0,17.0,1.297279,100.0
81.0,16.0,1.296277,100.0
81.0,16.0,1.21951,100.0
81.0,17.0,1.289393,100.0
81.0,17.0,1.339785,100.0
81.0,16.0,1.249905,100.0
96.0,17.0,1.425074,100.0
96.0,17.0,1.573263,100.0
96.0,17.0,1.529063,100.0
96.0,16.0,1.518753,100.0
96.0,16.0,1.485419,100.0
96.0,17.0,1.428206,100.0
96.0,17.0,1.404891,100.0
96.0,18.0,1.298748,100.0
96.0,16.0,1.297731,100.0
96.0,17.0,1.499923,100.0
114.0,15.0,1.642499,100.0
114.0,17.0,1.341146,100.0
114.0,17.0,1.76583,100.0
114.0,17.0,1.6728,100.0
114.0,15.0,1.719194,100.0
114.0,17.0,1.755239,100.0
114.0,17.0,1.780718,100.0
114.0,16.0,1.760648,100.0
114.0,16.0,1.815294,100.0
114.0,16.0,1.634433,100.0
135.0,15.0,2.025888,100.0
135.0,17.0,2.072653,100.0
135.0,17.0,1.696725,100.0
135.0,17.0,2.141424,100.0
135.0,16.0,2.078265,100.0
135.0,16.0,2.105017,100.0
135.0,17.0,2.165279,100.0
135.0,17.0,2.114204,100.0
135.0,17.0,2.133412,100.0
135.0,16.0,2.036259,100.0
160.0,17.0,2.523641,100.0
160.0,17.0,2.489233,100.0
160.0,17.0,2.469812,100.0
160.0,17.0,2.5694,100.0
160.0,16.0,2.389535,100.0
160.0,17.0,2.322128,100.0
160.0,17.0,2.585881,100.0
160.0,16.0,2.507558,100.0
160.0,16.0,2.499216,100.0
160.0,18.0,2.621265,100.0
190.0,17.0,2.969565,100.0
190.0,17.0,2.649857,100.0
190.0,17.0,2.999977,100.0
190.0,16.0,2.966157,100.0
190.0,16.0,2.732147,100.0
190.0,18.0,3.06342,100.0
190.0,16.0,3.076018,100.0
190.0,16.0,2.921968,100.0
190.0,16.0,2.684364,100.0
190.0,17.0,2.838971,100.0
225.0,17.0,3.507174,100.0
225.0,18.0,3.553102,100.0
225.0,18.0,3.567295,100.0
225.0,17.0,3.726464,100.0
225.0,16.0,3.558686,100.0
225.0,17.0,3.582219,100.0
225.0,17.0,3.650492,100.0
225.0,17.0,3.529403,100.0
225.0,17.0,2.720152,100.0
225.0,17.0,3.592719,100.0
266.0,17.0,4.049307,100.0
266.0,16.0,3.830572,100.0
266.0,17.0,4.382902,100.0
266.0,18.0,4.382647,100.0
266.0,17.0,4.337847,100.0
266.0,17.0,4.091486,100.0
266.0,18.0,4.493868,100.0
266.0,16.0,4.316307,100.0
266.0,18.0,4.407461,100.0
266.0,16.0,4.145513,100.0
315.0,17.0,4.857232,100.0
315.0,17.0,5.26634,100.0
315.0,17.0,5.087609,100.0
315.0,17.0,5.086103,100.0
315.0,18.0,4.929697,100.0
315.0,17.0,4.373582,100.0
315.0,17.0,5.218008,100.0
315.0,16.0,4.734347,100.0
315.0,16.0,4.965761,100.0
315.0,18.0,5.278495,100.0
374.0,17.0,4.132779,100.0
374.0,17.0,5.879193,100.0
374.0,17.0,6.107422,100.0
374.0,17.0,5.996983,100.0
374.0,16.0,5.928779,100.0
374.0,17.0,5.968124,100.0
374.0,16.0,5.622354,100.0
374.0,17.0,6.143563,100.0
374.0,16.0,5.906259,100.0
374.0,17.0,5.917945,100.0
443.0,17.0,6.942944,100.0
443.0,16.0,7.008736,100.0
443.0,17.0,7.238369,100.0
443.0,17.0,6.988408,100.0
443.0,17.0,7.187741,100.0
443.0,17.0,7.12696,100.0
443.0,17.0,6.837553,100.0
443.0,18.0,7.307652,100.0
443.0,17.0,5.939795,100.0
443.0,17.0,7.351668,100.0
524.0,17.0,8.670292,100.0
524.0,18.0,8.287207,100.0
524.0,18.0,8.671428,100.0
524.0,17.0,8.667251,100.0
524.0,17.0,8.339345,100.0
524.0,17.0,8.18501,100.0
524.0,17.0,8.255914,100.0
524.0,17.0,8.353224,100.0
524.0,17.0,7.814145,100.0
524.0,18.0,8.139754,100.0
621.0,17.0,9.527849,100.0
621.0,16.0,9.973329,100.0
621.0,17.0,9.959459,100.0
621.0,17.0,10.150848,100.0
621.0,17.0,9.975311,100.0
621.0,16.0,9.674349,100.0
621.0,16.0,10.212182,100.0
621.0,17.0,9.82867,100.0
621.0,17.0,10.096063,100.0
621.0,18.0,8.804255,100.0
736.0,16.0,11.545191,100.0
736.0,17.0,12.007385,100.0
736.0,18.0,11.765875,100.0
736.0,17.0,12.235806,100.0
736.0,17.0,11.892432,100.0
736.0,17.0,11.048805,100.0
736.0,18.0,12.258322,100.0
736.0,17.0,11.84354,100.0
736.0,17.0,12.041446,100.0
736.0,18.0,12.483641,100.0
871.0,17.0,14.389684,100.0
871.0,18.0,13.253317,100.0
871.0,17.0,13.367091,100.0
871.0,18.0,14.436376,100.0
871.0,18.0,14.326263,100.0
871.0,18.0,14.410252,100.0
871.0,17.0,13.651185,100.0
871.0,17.0,14.109159,100.0
871.0,17.0,13.075619,100.0
871.0,16.0,14.268607,100.0
1032.0,17.0,16.067921,100.0
1032.0,17.0,16.823495,100.0
1032.0,18.0,16.849199,100.0
1032.0,17.0,17.05711,100.0
1032.0,18.0,16.837956,100.0
1032.0,17.0,17.29887,100.0
1032.0,17.0,16.455472,100.0
1032.0,17.0,17.105536,100.0
1032.0,17.0,16.273311,100.0
1032.0,17.0,16.880327,100.0
1223.0,18.0,19.330419,100.0
1223.0,18.0,19.881007,100.0
1223.0,18.0,19.129367,100.0
1223.0,18.0,19.315032,100.0
1223.0,17.0,20.271139,100.0
1223.0,17.0,19.495642,100.0
1223.0,17.0,18.993058,100.0
1223.0,18.0,20.655018,100.0
1223.0,16.0,19.074497,100.0
1223.0,17.0,18.874107,100.0
1448.0,16.0,22.359971,100.0
1448.0,18.0,22.694563,100.0
